param,value,recall@k,mrr@k,ndcg@k,n_queries,metric_k
chunk_size,256.0,0.83,0.6760171957671958,0.7085727024686297,300,10
chunk_size,512.0,0.8260000000000001,0.6752010582010582,0.708228453857007,300,10
chunk_size,1024.0,0.8260000000000001,0.6758862433862434,0.7086857531772266,300,10
k,3.0,0.7239444444444445,0.6583333333333333,0.6702078733143821,300,3
k,5.0,0.7676666666666667,0.668,0.6876764778815564,300,5
k,10.0,0.8260000000000001,0.6752010582010582,0.708228453857007,300,10
alpha,0.0,0.7878333333333333,0.623494708994709,0.6581795768118335,300,10
alpha,0.25,0.8158888888888889,0.6617169312169312,0.69393855303613,300,10
alpha,0.5,0.8260000000000001,0.6752010582010582,0.708228453857007,300,10
alpha,0.75,0.8083333333333333,0.6528690476190476,0.6882617242991832,300,10
alpha,1.0,0.786,0.6068690476190476,0.6469948146747088,300,10
